127.0.0.1, 2018-09-22 18:07:48, GET, /admin/static/_2.17.1/js/jquery.js, HTTP/1.1, 200, 0.001191
127.0.0.1, 2018-09-22 18:07:48, GET, /admin/static/_2.17.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002912
127.0.0.1, 2018-09-22 18:07:48, GET, /admin/static/_2.17.1/js/calendar.js, HTTP/1.1, 200, 0.003405
127.0.0.1, 2018-09-22 18:07:48, GET, /admin/static/_2.17.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.003643
127.0.0.1, 2018-09-22 18:07:48, GET, /admin/static/_2.17.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.005150
127.0.0.1, 2018-09-22 18:07:48, GET, /admin/static/_2.17.1/css/calendar.css, HTTP/1.1, 200, 0.006851
127.0.0.1, 2018-09-22 18:07:48, GET, /admin/static/_2.17.1/js/web2py.js, HTTP/1.1, 200, 0.005400
127.0.0.1, 2018-09-22 18:07:48, GET, /admin/static/_2.17.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.003081
127.0.0.1, 2018-09-22 18:07:48, GET, /admin/static/_2.17.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.005253
127.0.0.1, 2018-09-22 18:07:48, GET, /admin/static/_2.17.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.009513
127.0.0.1, 2018-09-22 18:07:48, GET, /admin/static/_2.17.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.003438
127.0.0.1, 2018-09-22 18:07:48, GET, /admin/static/_2.17.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002983
127.0.0.1, 2018-09-22 18:07:48, GET, /admin/static/_2.17.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.008600
127.0.0.1, 2018-09-22 18:07:48, GET, /admin/static/_2.17.1/images/questions.png, HTTP/1.1, 200, 0.006939
127.0.0.1, 2018-09-22 18:07:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000307
127.0.0.1, 2018-09-22 18:08:21, GET, /, HTTP/1.1, 303, 0.000575
127.0.0.1, 2018-09-22 18:08:21, GET, /welcome/default/index, HTTP/1.1, 200, 0.021954
127.0.0.1, 2018-09-22 18:08:22, GET, /, HTTP/1.1, 303, 0.000492
127.0.0.1, 2018-09-22 18:08:22, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.001247
127.0.0.1, 2018-09-22 18:08:22, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000763
127.0.0.1, 2018-09-22 18:08:22, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001501
127.0.0.1, 2018-09-22 18:08:22, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.002119
127.0.0.1, 2018-09-22 18:08:22, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001575
127.0.0.1, 2018-09-22 18:08:22, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.003468
127.0.0.1, 2018-09-22 18:08:22, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.002963
127.0.0.1, 2018-09-22 18:08:22, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003050
127.0.0.1, 2018-09-22 18:08:22, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001708
